Period,Country,Year,Latitude,Longitude,Elevation_m _asl,Longitude1,Latitude1,year,elevation,map,km
2015,Sweden,2012,68.35,18.801,390,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,65.742,22.029,70,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,62.587,15.631,230,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,66.704,22.334,160,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,63.46,18.409,110,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,62.67,14.379,360,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,57.075,14.689,210,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,61.078,14.369,203,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,64.529,18.336,290,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,58.857,14.864,110,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,59.424,15.036,210,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,60.292,18.075,30,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,64.196,18.225,300,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,61.307,13.058,380,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,61.095,15.257,290,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,60.298,16.548,150,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,63.161,13.98,385,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,61.825,13.866,530,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,59.539,17.136,3,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,59.797,12.851,290,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,63.374,13.459,430,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,65.127,19.466,310,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,66.662,19.947,350,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,65.003,20.035,230,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,67.969,20.46,380,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,66.149,20.016,380,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,65.998,22.925,50,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,59.902,15.297,290,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,67.187,20.956,360,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,63.338,14.445,310,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,66.894,18.746,340,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,67.081,18.617,590,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,63.27,16.82,145,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,65.881,19.544,370,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,61.791,15.647,195,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,66.9,20.846,380,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,64.002,17.401,375,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,60.336,17.808,40,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,56.423,14.218,125,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,65.872,22.302,25,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,59.54,15.473,70,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,59.763,13.047,280,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,59.572,12.174,200,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,60.364,15.181,345,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,64.608,19.854,310,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,65.068,17.237,350,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,63.837,14.893,360,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,60.951,16.109,350,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,57.464,14.365,245,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,64.168,16.043,315,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,59.43,13.295,70,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,64.644,16.821,380,NA,NA,NA,NA,NA,NA
2015,Sweden,2012,64.137,19.865,200,NA,NA,NA,NA,NA,NA
2015,Sweden,2016,56.727683,14.197667,202,13.8822,56.8526,2016,148,685.244000004,42
2015,Sweden,2016,57.48945,15.28155,328,15.5831,57.6167,2016,140,624.1400000040001,22
2015,Sweden,2016,59.023083,11.447733,13,11.6077,57.6324,2016,12,588.567999996,75
2015,Sweden,2016,60.19535,14.667067,422,14.9804,60.2915,2016,190,645.080000004,47
2015,Sweden,2016,62.0944,14.7358,490,14.41,62.0471,2016,362,551.199999996,64
2015,Sweden,2016,63.839833,15.96495,299,16.9531,63.6849,2016,214,541.7040000000001,28
2015,Sweden,2016,65.292183,18.204,597,17.1126,65.8976,2016,505,640.100000004,36
2015,Sweden,2016,66.312017,17.8769,667,18.0226,66.8834,2016,314,573.833333328,38
2015,Sweden,2016,67.0159,19.856433,415,19.8316,66.6135,2016,240,602.01,27
2015,Sweden,2016,67.195467,21.087683,563,21.0846,67.8911,2016,328,639.48,7
2015,Sweden,2017,60.08275,14.25231,318,13.7975,60.1514,2017,190,718.179999996,17
2015,Sweden,2017,60.4766,14.57418,297,14.9804,60.2915,2017,190,604.839999996,46
2015,Sweden,2017,60.74214,15.09667,365,15.0167,60.7256,2017,175,545.2160000040001,38
2015,Sweden,2017,61.53767,14.82303,451,15.2223,61.1684,2017,220,607.539999996,50
2015,Sweden,2017,62.36423,13.36111,701,13.1866,61.6912,2017,425,627.36,55
2015,Sweden,2017,62.91776,15.65073,377,15.7694,62.5257,2017,140,484.27500000000003,3
2015,Sweden,2017,63.67897,16.86144,205,16.9531,63.6849,2017,214,516.444,27
2015,Sweden,2017,63.77042,14.39849,430,14.2238,64.5057,2017,550,760.92,11
2015,Sweden,2017,64.500470000000007,17.42845,446,16.9531,63.6849,2017,214,516.444,27
2015,Sweden,2017,64.81823,18.99695,271,20.2398,63.813,2017,10,568.100000004,53
2015,Sweden,2017,65.90451,19.17442,350,19.8316,66.6135,2017,240,606.03,26
2015,Sweden,2017,66.1293,19.25486,425,19.8316,66.6135,2017,240,606.03,26
2015,Sweden,2017,66.14017,20.88412,55,21.4776,65.2636,2017,5,665.979999996,52
2015,Sweden,2017,66.37273,21.52713,374,21.4776,65.2636,2017,5,665.979999996,52
2015,Sweden,2017,66.99496,23.19288,222,23.622,66.3862,2017,75,649.4000000039999,51
2015,Sweden,2017,67.4299,22.39649,222,21.0846,67.8911,2017,328,624.36,7
2015,Sweden,2017,68.86295,23.16597,360,21.0846,67.8911,2017,328,624.36,7
2015,Sweden,2017,69.37429,24.24192,341,23.622,66.3862,2017,75,649.4000000039999,51
2015,Sweden,2017,69.4081,24.69435,230,23.622,66.3862,2017,75,649.4000000039999,51
2015,Sweden,2017,69.44368,25.28016,163,23.622,66.3862,2017,75,649.4000000039999,51
2015,Sweden,2017,69.49201,25.84433,139,23.622,66.3862,2017,75,649.4000000039999,51
2015,Sweden,2017,69.71729,25.97481,128,23.622,66.3862,2017,75,649.4000000039999,51
