Period,Country,Year,Latitude,Longitude,Elevation_m _asl
2015,Sweden,2012,68.35,18.801,390
2015,Sweden,2012,65.742,22.029,70
2015,Sweden,2012,62.587,15.631,230
2015,Sweden,2012,66.704,22.334,160
2015,Sweden,2012,63.46,18.409,110
2015,Sweden,2012,62.67,14.379,360
2015,Sweden,2012,57.075,14.689,210
2015,Sweden,2012,61.078,14.369,203
2015,Sweden,2012,64.529,18.336,290
2015,Sweden,2012,58.857,14.864,110
2015,Sweden,2012,59.424,15.036,210
2015,Sweden,2012,60.292,18.075,30
2015,Sweden,2012,64.196,18.225,300
2015,Sweden,2012,61.307,13.058,380
2015,Sweden,2012,61.095,15.257,290
2015,Sweden,2012,60.298,16.548,150
2015,Sweden,2012,63.161,13.98,385
2015,Sweden,2012,61.825,13.866,530
2015,Sweden,2012,59.539,17.136,3
2015,Sweden,2012,59.797,12.851,290
2015,Sweden,2012,63.374,13.459,430
2015,Sweden,2012,65.127,19.466,310
2015,Sweden,2012,66.662,19.947,350
2015,Sweden,2012,65.003,20.035,230
2015,Sweden,2012,67.969,20.46,380
2015,Sweden,2012,66.149,20.016,380
2015,Sweden,2012,65.998,22.925,50
2015,Sweden,2012,59.902,15.297,290
2015,Sweden,2012,67.187,20.956,360
2015,Sweden,2012,63.338,14.445,310
2015,Sweden,2012,66.894,18.746,340
2015,Sweden,2012,67.081,18.617,590
2015,Sweden,2012,63.27,16.82,145
2015,Sweden,2012,65.881,19.544,370
2015,Sweden,2012,61.791,15.647,195
2015,Sweden,2012,66.9,20.846,380
2015,Sweden,2012,64.002,17.401,375
2015,Sweden,2012,60.336,17.808,40
2015,Sweden,2012,56.423,14.218,125
2015,Sweden,2012,65.872,22.302,25
2015,Sweden,2012,59.54,15.473,70
2015,Sweden,2012,59.763,13.047,280
2015,Sweden,2012,59.572,12.174,200
2015,Sweden,2012,60.364,15.181,345
2015,Sweden,2012,64.608,19.854,310
2015,Sweden,2012,65.068,17.237,350
2015,Sweden,2012,63.837,14.893,360
2015,Sweden,2012,60.951,16.109,350
2015,Sweden,2012,57.464,14.365,245
2015,Sweden,2012,64.168,16.043,315
2015,Sweden,2012,59.43,13.295,70
2015,Sweden,2012,64.644,16.821,380
2015,Sweden,2012,64.137,19.865,200
2015,Sweden,2016,56.727683,14.197667,202
2015,Sweden,2016,57.48945,15.28155,328
2015,Sweden,2016,59.023083,11.447733,13
2015,Sweden,2016,60.19535,14.667067,422
2015,Sweden,2016,62.0944,14.7358,490
2015,Sweden,2016,63.839833,15.96495,299
2015,Sweden,2016,65.292183,18.204,597
2015,Sweden,2016,66.312017,17.8769,667
2015,Sweden,2016,67.0159,19.856433,415
2015,Sweden,2016,67.195467,21.087683,563
2015,Sweden,2017,60.08275,14.25231,318
2015,Sweden,2017,60.4766,14.57418,297
2015,Sweden,2017,60.74214,15.09667,365
2015,Sweden,2017,61.53767,14.82303,451
2015,Sweden,2017,62.36423,13.36111,701
2015,Sweden,2017,62.91776,15.65073,377
2015,Sweden,2017,63.67897,16.86144,205
2015,Sweden,2017,63.77042,14.39849,430
2015,Sweden,2017,64.50047,17.42845,446
2015,Sweden,2017,64.81823,18.99695,271
2015,Sweden,2017,65.90451,19.17442,350
2015,Sweden,2017,66.1293,19.25486,425
2015,Sweden,2017,66.14017,20.88412,55
2015,Sweden,2017,66.37273,21.52713,374
