Longitude,Latitude,Longitude1,Latitude1,year,elevation,map,km
13.5,59.400002,13.4776,59.6082,1915,65,567.2,6
18.549999,65.300003,17.1126,65.8976,1915,505,548,29
22.299999,66.730003,23.653,66.381,1915,55,381.6,44
18.15,63.43,17.9471,62.628,1915,8,625.46,19
13.07,63.400002,13.12,61.68,1915,435,494.88,47
17.799999,66.029999,17.1126,65.8976,1915,505,548,29
19.17,65.580002,19.83,66.6,1915,255,456.24,23
12.63,59.669998,13.4776,59.6082,1915,65,567.2,6
17.33,64.169998,16.9926,63.1428,1915,170,506.8,13
14.8,59,14.6526,58.8121,1915,185,684.8,51
14,63.380001,15.6311,62.5219,1915,160,424.6,3
20.65,64.519997,20.9026,65.3373,1915,220,496.8,7
19.719999,64.199997,19.0532,63.3266,1915,30,416.8,26
17.07,59.5,17.6252,59.8585,1915,13,534.28,59
18.4,64.080002,19.0532,63.3266,1915,30,416.8,26
13.77,64.650002,15.6311,62.5219,1915,160,424.6,3
16.799999,61.200001,16.1451,60.638,1915,185,534.6,30
15.47,60.599998,15.6235,60.6219,1915,122,519.06,10
13.45,63.369999,13.12,61.68,1915,435,494.88,47
18,62.599998,17.9471,62.628,1915,8,625.46,19
13.5,62.41,13.12,61.68,1915,435,494.88,47
19.889999,66.589996,19.83,66.6,1915,255,456.24,23
20.15,65.029999,20.9026,65.3373,1915,220,496.8,7
20.610001,67.910004,19.83,66.6,1915,255,456.24,23
16.9,62.830002,16.9926,63.1428,1915,170,506.8,13
23.129999,66.849998,23.653,66.381,1915,55,381.6,44
13.5,59.400002,13.4776,59.6082,1915,65,567.2,6
15.28,59.900002,14.9694,60.288,1915,190,512,40
14.98,60.25,14.9694,60.288,1915,190,512,40
19.17,66.029999,19.83,66.6,1915,255,456.24,23
17.389999,62.529999,17.28,62.37,1915,69,585.6,48
14,61.830002,13.12,61.68,1915,435,494.88,47
17.4,60.25,17.6252,59.8585,1915,13,534.28,59
19.48,64.919998,20.9026,65.3373,1915,220,496.8,7
17.700001,60.23,17.8838,60.4085,1915,25,587,37
15.2,59.299999,14.6526,58.8121,1915,185,684.8,51
14.55,61.279999,15.2235,61.1644,1915,220,414.2,43
14.5,63.18,15.6311,62.5219,1915,160,424.6,3
19.719999,65.400002,20.9026,65.3373,1915,220,496.8,7
23.4,67.220001,23.653,66.381,1915,55,381.6,44
18.4,66.699997,17.75,66.95,1915,330,445.6,32
22.299999,66,22.3743,65.3149,1915,5,385.2,46
20,66.699997,19.83,66.6,1915,255,456.24,23
14.55,62.470001,15.6311,62.5219,1915,160,424.6,3
18.67,64.599998,19.0532,63.3266,1915,30,416.8,26
13.1,61.700001,13.12,61.68,1915,435,494.88,47
17.5,65.5,17.1126,65.8976,1915,505,548,29
17.200001,65.089996,17.1126,65.8976,1915,505,548,29
20.709999,66.379997,19.83,66.6,1915,255,456.24,23
15.9,64.220001,16.9926,63.1428,1915,170,506.8,13
24.129999,65.830002,24.1438,65.8272,1915,5,496.98,18
13.32,61.080002,13.6909,60.7041,1915,308,519.4,39
14,62.400002,13.12,61.68,1915,435,494.88,47
20.32,65.879997,20.9026,65.3373,1915,220,496.8,7
16.6,59.580002,16.0615,59.7017,1915,60,553.2,36
14.5,60.169998,14.5301,59.7113,1915,185,702.4,15
16.65,64.620003,17.1126,65.8976,1915,505,548,29
